id;application_type;initiationdate;submission_date;finalizationdate;application_identifier
1;PASSPORT;2022-08-01;2022-08-01;2022-08-01;8ab10695-3e22-4750-b1a4-83838d540b84
2;DL;2022-08-01;2022-08-01;2022-08-01;0540e064-5f22-4d6f-b413-01fc3c09eb84
3;DL;2022-08-01;2022-08-01;2022-08-01;e1046fbf-b930-4713-b290-df06c0c8a458
4;PASSPORT;2022-08-01;2022-08-01;2022-08-01;ae2f1849-c3b8-4c5c-bb52-3803ae89f27c
5;DL;2022-08-01;2022-08-01;2022-08-01;9b3a76fb-7e23-4b27-8580-f77a0a416057
6;PASSPORT;2022-08-01;2022-08-01;2022-08-01;d79c4ec8-63b1-4aec-bf1c-91bc14ca1a66
7;DL;2022-08-01;2022-08-01;2022-07-31;b7836410-6ab8-4b7b-b661-fcfc6de14bc9
8;PASSPORT;2022-08-01;2022-08-01;2022-08-01;c89dcc7d-3085-4239-8480-9bd7de5960fc
9;DL;2022-08-01;2022-08-01;2022-08-01;1d74cf87-7fa0-4094-a9d3-5a24000086c1
10;DL;2022-07-31;2022-08-01;2022-08-01;af46b043-63ce-4c9e-8ec1-4d82bbdc3c3f
