id;uuid;name;detail;created_date;updated_date
1;d1db3152-0753-4e8b-ac0f-fd340d7e764a;primary Tasty Grocery;Shoes;2022-08-01T16:51:30;2022-07-31T19:00:05
2;5093aa37-63e9-4877-8c62-b6d79e831786;Fantastic orchid transition;synthesizing Reduced;2022-07-31T22:28:06;2022-08-01T08:54:21
3;7452b6c8-c9a2-484e-a933-729ade17ec7c;Parkways Small;GB Accountability;2022-08-01T08:40:24;2022-08-01T11:00:30
4;3646a2bf-6739-4f10-b645-6d0ac15c7b81;reboot Technician SMS;connect Washington;2022-07-31T18:33:45;2022-08-01T06:31:30
5;1a7801ad-d9af-4e65-a100-4afef0b98165;Mobility violet unleash;yellow parse;2022-08-01T05:42:28;2022-08-01T01:10:34
6;cf4d0848-2fea-4b31-b821-c22648c9b248;Nevada EXE;indexing bypass;2022-08-01T06:34:19;2022-08-01T11:55:29
7;11a0016e-0c97-47d6-8716-9ec91c91277b;Fiji visionary Buckinghamshire;Horizontal Agent gold;2022-08-01T06:59:56;2022-07-31T18:04:42
8;54edc307-6fb6-467a-9e05-b8d1f50a7ef6;enable hacking;withdrawal;2022-07-31T17:38:08;2022-08-01T12:05:10
9;8708f4a7-c553-4cff-ae0b-073bd27820b7;Ball;Checking hierarchy;2022-08-01T12:44:40;2022-08-01T01:01:32
10;80028eda-8679-4136-ba08-33f85f675551;Corporate program;compressing;2022-07-31T21:19:26;2022-08-01T00:59:57
